Agentid,TimePassed,LaraPosition.x,LaraPosition.y,LaraPosition.z,MarkoPosition.x,MarkoPosition.y,MarkoPosition.z,HalloPosition.x,HalloPosition.y,HalloPosition.z,Food1Position.x,Food1Position.y,Food1Position.z,Food2Position.x,Food2Position.y,Food2Position.z,Food3Position.x,Food3Position.y,Food3Position.z,Food,Health,AttackParticlePosition.x,AttackParticlePosition.y,AttackParticlePosition.z,ParticleContainPosition.x,ParticleContainPosition.y,ParticleContainPosition.z,Speed,Action
1,2.849998,-0.2000008,0,2.499998,-0.5999947,0,-1.832003,1.799999,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,5.633326,-0.6272725,-0.04350448,-9,0.47,-1.96,5,4
1,2.866665,-0.1000004,0,2.499998,-0.5999947,0,-1.932003,1.799999,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,5.733326,-0.6272725,-0.04350448,-9,0.47,-1.96,5,4
1,3.083331,0,0,2.499998,-0.5999947,0,-1.532003,1.799999,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,5.833326,-0.6272725,-0.04350448,-9,0.47,-1.96,5,4
1,3.116664,0.1000004,0,2.499998,-0.5999947,0,-1.432003,1.799999,-0.04000002,2.589999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,5.933327,-0.6272725,-0.04350448,-9,0.47,-1.96,5,4
1,3.133331,0.2000008,0,2.499998,-0.5999947,0,-1.332004,1.799999,-0.04000002,2.649999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,6.033327,-0.6272725,-0.04350448,-9,0.47,-1.96,5,4
1,3.149998,0.3000011,0,2.499998,-0.5999947,0,-1.232004,1.799999,-0.04000002,2.709999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,6.133327,-0.6272725,-0.04350448,-9,0.47,-1.96,5,4
1,3.166664,0.4000015,0,2.499998,-0.5999947,0,-1.132004,1.799999,-0.04000002,2.769999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,6.233328,-0.6272725,-0.04350448,-9,0.47,-1.96,5,4
1,3.283331,0.5000019,0,2.499998,-0.5999947,0,-0.5320044,1.799999,-0.04000002,3.129998,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-8.75,-1.875,6.333328,-0.6272725,-0.04350448,-9,0.47,-1.96,5,0
1,3.316664,0.5000019,0,2.499998,-0.5999947,0,-0.5320044,1.799999,-0.04000002,3.129998,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-9.75,-2.375,6.333328,-0.6272725,-0.04350448,-9,0.47,-1.96,5,0
1,3.333331,0.5000019,0,2.499998,-0.5999947,0,-0.5320044,1.799999,-0.04000002,3.129998,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-10.75,-2.875,6.333328,-0.6272725,-0.04350448,-9,0.47,-1.96,5,0
1,3.349998,0.5000019,0,2.499998,-0.5999947,0,-0.5320044,1.799999,-0.04000002,3.129998,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-11.75,-3.375,6.333328,-0.6272725,-0.04350448,-9,0.47,-1.96,5,0
1,3.366664,0.5000019,0,2.499998,-0.5999947,0,-0.5320044,1.799999,-0.04000002,3.129998,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-12.75,-3.875,6.333328,-0.6272725,-0.04350448,-9,0.47,-1.96,5,0
1,3.383331,0.5000019,0,2.499998,-0.5999947,0,-0.5320044,1.799999,-0.04000002,3.129998,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-13.75,-4.375,6.333328,-0.6272725,-0.04350448,-9,0.47,-1.96,5,4
1,3.416664,0.6000023,0,2.499998,-0.5999947,0,-0.5320044,1.859999,-0.04000002,3.129998,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-13.75,-4.375,6.433329,-0.6272725,-0.04350448,-9,0.47,-1.96,5,4
1,3.433331,0.7000027,0,2.499998,-0.5999947,0,-0.5320044,1.919999,-0.04000002,3.129998,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-13.75,-4.375,6.533329,-0.6272725,-0.04350448,-9,0.47,-1.96,5,4
1,3.449997,0.8000031,0,2.499998,-0.5999947,0,-0.5320044,1.979999,-0.04000002,3.129998,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,-13.75,-4.375,6.633329,-0.6272725,-0.04350448,-9,0.47,-1.96,5,4
